order,url,name,description,star
1649851911-2597,https://github.com/search?l=Java&o=desc&p=18&q=in%3Adescription+microservice&s=stars&type=Repositories,IcedSoul/withme3.0,"Using Netty as the server and WebSocket as the communication protocol, the instant messaging system developed by micr…",59
1649851822-2284,https://github.com/search?l=Java&o=desc&p=49&q=in%3Adescription+microservice&s=stars&type=Repositories,oregor-projects/trinity-demo-java,Demo microservice application structured according to the Trinity Architecture.,13
1649851925-2646,https://github.com/search?l=Java&o=desc&p=13&q=in%3Adescription+microservice&s=stars&type=Repositories,PacktPublishing/Mastering-Microservices-with-Java,"Mastering Microservices with Java (First Edition), by Packt Publishing",104
1649851690-1831,https://github.com/search?l=Java&o=desc&p=94&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-spring-cloud-netflix,sample microservices applications demonstrating how to use spring cloud netflix projects like eureka with or without …,4
1649851795-2194,https://github.com/search?l=Java&o=desc&p=58&q=in%3Adescription+microservice&s=stars&type=Repositories,hsmnzaydn/terms-commands-microservices,Spring microservices,10
1649851693-1849,https://github.com/search?l=Java&o=desc&p=93&q=in%3Adescription+microservice&s=stars&type=Repositories,fedeoliv/avro-serializer-java,Custom Avro serializer for reactive microservices architectures.,4
1649851751-2040,https://github.com/search?l=Java&o=desc&p=73&q=in%3Adescription+microservice&s=stars&type=Repositories,xiayank/food-ordering-system,A food ordering system using Microservices architecture and Spring Cloud,6
1649851736-1993,https://github.com/search?l=Java&o=desc&p=78&q=in%3Adescription+microservice&s=stars&type=Repositories,atifmerghad/ETL---Microservices,"an ETL system based in microservices architecture using Spring Boot, Spark and Angular",6
1649851771-2111,https://github.com/search?l=Java&o=desc&p=66&q=in%3Adescription+microservice&s=stars&type=Repositories,kumuluz/kumuluzee-rest,"KumuluzEE REST extension for implementation of common, advanced and flexible REST API functionalities and patterns as m…",8
1649851933-2674,https://github.com/search?l=Java&o=desc&p=10&q=in%3Adescription+microservice&s=stars&type=Repositories,spring-cloud/stream-applications,Functions and Spring Cloud Stream Applications for data driven microservices,165
1649851925-2645,https://github.com/search?l=Java&o=desc&p=13&q=in%3Adescription+microservice&s=stars&type=Repositories,otto-de/edison-microservice,Collection of independent libraries on top of Spring Boot to provide a faster setup of jvm microservices,106
1649851814-2258,https://github.com/search?l=Java&o=desc&p=52&q=in%3Adescription+microservice&s=stars&type=Repositories,sofieneBK/building-microservices-with-spring-boot,Code for Building Microservices With Spring Boot tutorial,11
1649851885-2508,https://github.com/search?l=Java&o=desc&p=27&q=in%3Adescription+microservice&s=stars&type=Repositories,gustavoorsi/e-learning,"App with microservices architecture to demostrate the use of Spring 4 boot, Spring 4 Hateoas, Spring 4 jpa + hibernat…",32
1649851724-1954,https://github.com/search?l=Java&o=desc&p=82&q=in%3Adescription+microservice&s=stars&type=Repositories,codej99/SpringCloudMsa,Make MicroService Architechture By Spring Cloud,5
1649851780-2142,https://github.com/search?l=Java&o=desc&p=63&q=in%3Adescription+microservice&s=stars&type=Repositories,Book-Microservices-v2/chapter04,Learn Microservices with Spring Boot (2nd edition) - Chapter 4,8
1649851885-2501,https://github.com/search?l=Java&o=desc&p=27&q=in%3Adescription+microservice&s=stars&type=Repositories,shabbirdwd53/event-driven-microservices,event-driven-microservices,32
1649851710-1906,https://github.com/search?l=Java&o=desc&p=87&q=in%3Adescription+microservice&s=stars&type=Repositories,FaissalElfid/springboot-k8s-ci-cd,Springboot microservices + kubernetes + terraform (digital ocean) + CI/CD (GH Actions),5
1649851811-2246,https://github.com/search?l=Java&o=desc&p=53&q=in%3Adescription+microservice&s=stars&type=Repositories,srast3/spring-kafka-microservice,This is a repository for building a Spring Boot microservice using NetflixOSS and Apache Kafka,11
1649851947-2721,https://github.com/search?l=Java&o=desc&p=5&q=in%3Adescription+microservice&s=stars&type=Repositories,authorjapps/zerocode,"A community-developed, free, open source, microservices API automation and load testing framework built using JUnit c…",597
1649851839-2344,https://github.com/search?l=Java&o=desc&p=43&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-quarkus-microservices-consul,Demo applications illustrating how to build microservices and run them outside Kubernetes with Quarkus. It shows how …,16
1649851831-2312,https://github.com/search?l=Java&o=desc&p=46&q=in%3Adescription+microservice&s=stars&type=Repositories,esfand55/mancala-game,Mancala Game implementation using Spring Boot and Microservices.,14
1649851787-2165,https://github.com/search?l=Java&o=desc&p=61&q=in%3Adescription+microservice&s=stars&type=Repositories,yorkwu1977/jhi-example-appstack,App Stack for a microservice architecture. Generate by Jhipster.,9
1649851678-1794,https://github.com/search?l=Java&o=desc&p=98&q=in%3Adescription+microservice&s=stars&type=Repositories,liliasfaxi/microservices-basics,"A basic microservices application with config, discovery and proxy services, and multiple instances for the business …",4
1649851738-2003,https://github.com/search?l=Java&o=desc&p=77&q=in%3Adescription+microservice&s=stars&type=Repositories,jojczykp/kafka-cqrs,Event Sourcing CQRS Microservices application with SSE Web Push Notifications on top of Kubernetes with Kafka and Cas…,6
1649851825-2296,https://github.com/search?l=Java&o=desc&p=48&q=in%3Adescription+microservice&s=stars&type=Repositories,Tencent/Femas,Cloud native multi-runtime microservice framework,13
1649851879-2485,https://github.com/search?l=Java&o=desc&p=29&q=in%3Adescription+microservice&s=stars&type=Repositories,jmnarloch/request-correlation-spring-cloud-starter,Spring Cloud request correlation across multiple microservices,28
1649851857-2401,https://github.com/search?l=Java&o=desc&p=37&q=in%3Adescription+microservice&s=stars&type=Repositories,pauldragoslav/Spring-boot-Banking,Example project demonstrating the use of Spring-boot in a banking microservice,20
1649851922-2632,https://github.com/search?l=Java&o=desc&p=14&q=in%3Adescription+microservice&s=stars&type=Repositories,RainbowForest/e-commerce-microservices,"REST Microservices architecture for E-commerce with Spring boot, Cloud and multiple modules",99
1649851908-2585,https://github.com/search?l=Java&o=desc&p=19&q=in%3Adescription+microservice&s=stars&type=Repositories,Nike-Inc/riposte-microservice-template,An example template for quickly creating a new Riposte microservice project.,53
1649851774-2125,https://github.com/search?l=Java&o=desc&p=65&q=in%3Adescription+microservice&s=stars&type=Repositories,marcellodesales/spring-cloud-microservices-demos,"SpringBoot Microservices: Config Server, Discovery, Load-Balancing, API Gateway, Hystrix, Tracing, Reactor. App Confi…",8
1649851862-2429,https://github.com/search?l=Java&o=desc&p=35&q=in%3Adescription+microservice&s=stars&type=Repositories,redhat-helloworld-msa/ola,Microservice using Spring Boot,21
1649851777-2132,https://github.com/search?l=Java&o=desc&p=64&q=in%3Adescription+microservice&s=stars&type=Repositories,couchbaselabs/kubernetes-starter-kit,"An example of how to create a microservice and deploy it on kubernetes, including the database.",8
1649851808-2236,https://github.com/search?l=Java&o=desc&p=54&q=in%3Adescription+microservice&s=stars&type=Repositories,leszko/caching-patterns,Code Samples for "Where is my cache? Architectural patterns for caching microservices by example" talk and blog post.,11
1649851913-2605,https://github.com/search?l=Java&o=desc&p=17&q=in%3Adescription+microservice&s=stars&type=Repositories,colinlucs/microservices-orchestration-amqp-example,An example project of event-driven microservices orchestration using Camunda and RabbitMQ,67
1649851801-2213,https://github.com/search?l=Java&o=desc&p=56&q=in%3Adescription+microservice&s=stars&type=Repositories,alphagov/verify-hub,Verify Hub Microservices,10
1649851916-2616,https://github.com/search?l=Java&o=desc&p=16&q=in%3Adescription+microservice&s=stars&type=Repositories,fuinorg/ddd-cqrs-4-java-example,"Example Java DDD/CQRS/Event Sourcing microservices with Quarkus, Spring Boot and EventStore from Greg Young.",73
1649851707-1892,https://github.com/search?l=Java&o=desc&p=88&q=in%3Adescription+microservice&s=stars&type=Repositories,hadasbro/microservices,Microservices demo [ Reactive Spring + Eureka + Ribbon + Hystrix + Turbine + Kafka + Mongo + Couchbase + Cassandra + …,5
1649851928-2655,https://github.com/search?l=Java&o=desc&p=12&q=in%3Adescription+microservice&s=stars&type=Repositories,oktadev/jhipster-microservices-example,"JHipster Microservices Example using Spring Cloud, Spring Boot, Angular, Docker, and Kubernetes",116
1649851814-2251,https://github.com/search?l=Java&o=desc&p=52&q=in%3Adescription+microservice&s=stars&type=Repositories,hajali-amine/cqrs-microservices,A microservices-based project following the CQRS concept.,12
1649851874-2467,https://github.com/search?l=Java&o=desc&p=31&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-spring-reactive,"sample reactive microservices using spring 5, spring boot, spring webflux and project reactor",26
1649851899-2558,https://github.com/search?l=Java&o=desc&p=22&q=in%3Adescription+microservice&s=stars&type=Repositories,discospiff/SpringBootMicroServices,Lessons in Spring Boot and Microservices,43
1649851678-1796,https://github.com/search?l=Java&o=desc&p=98&q=in%3Adescription+microservice&s=stars&type=Repositories,advantageous/metrik,"Interfaces for gathering runtime metrics, KPIs, and other stats for Reactive Microservice Container Development. Supp…",4
1649851876-2478,https://github.com/search?l=Java&o=desc&p=30&q=in%3Adescription+microservice&s=stars&type=Repositories,doctore/Spring5Microservices,Proof of concept to create microservices using Spring 5 and related technologies,27
1649851684-1815,https://github.com/search?l=Java&o=desc&p=96&q=in%3Adescription+microservice&s=stars&type=Repositories,ermathias/tdc-2019,API Composition - A Microservices Pattern,4
1649851774-2123,https://github.com/search?l=Java&o=desc&p=65&q=in%3Adescription+microservice&s=stars&type=Repositories,OpenLiberty/guide-istio-intro,A guide on how to manage microservice traffic with Istio using blue-green deployment as an example: https://openliber…,8
1649851899-2557,https://github.com/search?l=Java&o=desc&p=22&q=in%3Adescription+microservice&s=stars&type=Repositories,microservices-demo/orders,Orders service for Microservices Demo application,43
1649851687-1824,https://github.com/search?l=Java&o=desc&p=95&q=in%3Adescription+microservice&s=stars&type=Repositories,AleksandarKovachev/university,"Spring Boot Microservices with Keycloak as an authorization server, Consul as a Discovery server and Zuul as a gatewa…",4
1649851738-2006,https://github.com/search?l=Java&o=desc&p=77&q=in%3Adescription+microservice&s=stars&type=Repositories,anabneri/microservice-kafka-producer,A Producer microservice using Kafka and Tests,6
1649851888-2510,https://github.com/search?l=Java&o=desc&p=26&q=in%3Adescription+microservice&s=stars&type=Repositories,spring-attic/spring-bus,Support for distributed Spring Integration applications as Message-driven Microservices,35
1649851801-2212,https://github.com/search?l=Java&o=desc&p=56&q=in%3Adescription+microservice&s=stars&type=Repositories,PacktPublishing/Practical-Microservices,"Practical Microservices, published by Packt",10
1649851744-2028,https://github.com/search?l=Java&o=desc&p=75&q=in%3Adescription+microservice&s=stars&type=Repositories,paucls/runbook-ddd-cqrs-es-microservice,A sample microservice with CQRS and Event Sourcing architecture for a Runbook and Tasks domain.,6
1649851684-1816,https://github.com/search?l=Java&o=desc&p=96&q=in%3Adescription+microservice&s=stars&type=Repositories,diogoaltoe/spring-cloud-microservices,Microservices with Spring Cloud (Netflix),4
1649851768-2109,https://github.com/search?l=Java&o=desc&p=67&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-vertx-kubernetes,implementation of sample microservices using Vert.x and deploying them on minishift (openshift),7
1649851825-2294,https://github.com/search?l=Java&o=desc&p=48&q=in%3Adescription+microservice&s=stars&type=Repositories,temelt/microservice-demo,"Microservice App - Java8, SpringCloud, Zipkin, Hystrix",13
1649851925-2644,https://github.com/search?l=Java&o=desc&p=13&q=in%3Adescription+microservice&s=stars&type=Repositories,vert-x3/vertx-service-discovery,Some tools one can use for doing microservices with Vert.x,106
1649851699-1863,https://github.com/search?l=Java&o=desc&p=91&q=in%3Adescription+microservice&s=stars&type=Repositories,colinbut/microservices-template,A template skeleton for a new microservice,4
1649851718-1933,https://github.com/search?l=Java&o=desc&p=84&q=in%3Adescription+microservice&s=stars&type=Repositories,MarcoGhise/SpringMicroServiceBooking,Code for article https://techannotation.wordpress.com/2017/01/30/spring-microservices-with-mongodb/,5
1649851925-2649,https://github.com/search?l=Java&o=desc&p=13&q=in%3Adescription+microservice&s=stars&type=Repositories,mostafacs/ecommerce-microservices-spring-reactive-webflux,E-commerce demo with spring reactive webflux and spring cloud microservice,101
1649851865-2438,https://github.com/search?l=Java&o=desc&p=34&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-spring-cloud-stream,"sample microservices communicating asynchronously using spring cloud stream, rabbitmq",22
1649851718-1936,https://github.com/search?l=Java&o=desc&p=84&q=in%3Adescription+microservice&s=stars&type=Repositories,dannemano/camelboot,A baseline project for Apache Camel microservices running in Spring Boot.,5
1649851687-1828,https://github.com/search?l=Java&o=desc&p=95&q=in%3Adescription+microservice&s=stars&type=Repositories,OpenLiberty/guide-bean-validation,An introductory guide on how to use bean validation in Open Liberty to create a microservice to validate user input d…,4
1649851741-2016,https://github.com/search?l=Java&o=desc&p=76&q=in%3Adescription+microservice&s=stars&type=Repositories,grkn/Order_Payment_Stock_Saga_Pattern,Saga pattern with Java => order -> payment -> stock microservices are ready to use,6
1649851942-2705,https://github.com/search?l=Java&o=desc&p=7&q=in%3Adescription+microservice&s=stars&type=Repositories,cescoffier/vertx-microservices-workshop,Vert.x Microservices Hand's on lab,312
1649851839-2340,https://github.com/search?l=Java&o=desc&p=43&q=in%3Adescription+microservice&s=stars&type=Repositories,IBM/opentracing-istio-troubleshooting,Tackle the challenge of observability in a Kubernetes application that consists of multiple microservices running in …,16
1649851762-2085,https://github.com/search?l=Java&o=desc&p=69&q=in%3Adescription+microservice&s=stars&type=Repositories,kmturley/docker-compose-microservices,Docker Compose microservices example,7
1649851896-2548,https://github.com/search?l=Java&o=desc&p=23&q=in%3Adescription+microservice&s=stars&type=Repositories,MichelliBrito/springboot-api-ebook,"API RESTful de Produtos do livro Spring Boot Da API REST aos Microservices. Para o download do livro gratuitamente, b…",41
1649851905-2575,https://github.com/search?l=Java&o=desc&p=20&q=in%3Adescription+microservice&s=stars&type=Repositories,IBM/example-bank,Deploy a customer loyalty back-end application with Java and Node microservices on IBM’s managed OpenShift.,50
1649851760-2079,https://github.com/search?l=Java&o=desc&p=70&q=in%3Adescription+microservice&s=stars&type=Repositories,johnnymillergh/muscle-and-fitness-server,"Muscle & Fitness server. A Spring Cloud microservice-based, modern clean architecture (DDD), back-end server for mana…",7
1649851678-1793,https://github.com/search?l=Java&o=desc&p=98&q=in%3Adescription+microservice&s=stars&type=Repositories,ailohq/lazybones-dropwizard-turbo,"Turbo charged lazybones Dropwizard 0.8.0 template, for a container-ready Microservice. Includes: Guice, Java8, Templa…",4
1649851792-2187,https://github.com/search?l=Java&o=desc&p=59&q=in%3Adescription+microservice&s=stars&type=Repositories,tubean/MSA-springboot-eureka,"Microservice with SpringBoot, Eureka server and Zuul",9
1649851859-2418,https://github.com/search?l=Java&o=desc&p=36&q=in%3Adescription+microservice&s=stars&type=Repositories,gszebra/zebra,Guosen MicroService Framework,20
1649851681-1809,https://github.com/search?l=Java&o=desc&p=97&q=in%3Adescription+microservice&s=stars&type=Repositories,dnjscksdn98/microservice-master-course,Microservices Master Course with Spring-Cloud,4
1649851798-2201,https://github.com/search?l=Java&o=desc&p=57&q=in%3Adescription+microservice&s=stars&type=Repositories,Reckue/post-service,"Microservice for publications, manuals and articles in the field of IT technology.",10
1649851882-2497,https://github.com/search?l=Java&o=desc&p=28&q=in%3Adescription+microservice&s=stars&type=Repositories,redhat-developer/microservices-book,Source code for book Microservices for Java Developers - 2nd edition,30
1649851733-1983,https://github.com/search?l=Java&o=desc&p=79&q=in%3Adescription+microservice&s=stars&type=Repositories,eisuto/Shmily,微服务架构的社交媒体网站。This is my graduation project. It is a social media website with a microservice architecture.,6
1649851876-2479,https://github.com/search?l=Java&o=desc&p=30&q=in%3Adescription+microservice&s=stars&type=Repositories,keyhan/jBSBE,The ISO8583 library j8583 made ready for microservices and on stereoids,27
1649851922-2638,https://github.com/search?l=Java&o=desc&p=14&q=in%3Adescription+microservice&s=stars&type=Repositories,clusterfk/chaos-proxy,ClusterFk Chaos Proxy is an unreliable HTTP proxy you can rely on; a lightweight tool designed for chaos testing of m…,89
1649851771-2118,https://github.com/search?l=Java&o=desc&p=66&q=in%3Adescription+microservice&s=stars&type=Repositories,cgerard321/champlain_petclinic,This repository is being used by Champlain College - St. Lambert Computer Science students who are extending the Spri…,8
1649851771-2115,https://github.com/search?l=Java&o=desc&p=66&q=in%3Adescription+microservice&s=stars&type=Repositories,HazalYoleri/currency-exchange-microservice-ecosystem,Basic example for microservice architecture implementation by using Spring Cloud and Netflix OSS components.,8
1649851699-1865,https://github.com/search?l=Java&o=desc&p=91&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-spring-boot-web,"sample spring boot microservices with spring web, database backend (mongo), api auto documentation (swagger2)",4
1649851727-1963,https://github.com/search?l=Java&o=desc&p=81&q=in%3Adescription+microservice&s=stars&type=Repositories,cbezmen/microservices,Spring Kubernetes Microservice example,5
1649851808-2231,https://github.com/search?l=Java&o=desc&p=54&q=in%3Adescription+microservice&s=stars&type=Repositories,anitechcs/microservices-reference-application,Polyglot microservices reference application using opensource technology stack like Docker and Kubernetes,11
1649851684-1814,https://github.com/search?l=Java&o=desc&p=96&q=in%3Adescription+microservice&s=stars&type=Repositories,bay1ts/MailService,Spring Boot Based JavaMail MicroService,4
1649851953-2747,https://github.com/search?l=Java&o=desc&p=3&q=in%3Adescription+microservice&s=stars&type=Repositories,sczyh30/vertx-blueprint-microservice,Vert.x Blueprint Project - Micro-Shop microservice application,705
1649851814-2257,https://github.com/search?l=Java&o=desc&p=52&q=in%3Adescription+microservice&s=stars&type=Repositories,garystafford/storefront-demo-accounts,"Spring Boot/Kafka/Mongo Microservice, part of a set of microservices for this project",11
1649851751-2041,https://github.com/search?l=Java&o=desc&p=73&q=in%3Adescription+microservice&s=stars&type=Repositories,rhuss/ping-pong,Three Microservices playing table tennis,6
1649851888-2512,https://github.com/search?l=Java&o=desc&p=26&q=in%3Adescription+microservice&s=stars&type=Repositories,chachae/cloudx,A quickly construct seed projects of distributed microservice project base on SpringCloud Hoxton & Alibaba（基于SpringCl…,35
1649851902-2562,https://github.com/search?l=Java&o=desc&p=21&q=in%3Adescription+microservice&s=stars&type=Repositories,SpringOne2GX-2014/microservice-security,Various code samples from the http://presos.dsyer.com/decks/microservice-security.html presentation by Dave Syer,49
1649851805-2227,https://github.com/search?l=Java&o=desc&p=55&q=in%3Adescription+microservice&s=stars&type=Repositories,rshtishi/payroll,payroll is an application that manages employees built with microservice architecture.,11
1649851675-1781,https://github.com/search?l=Java&o=desc&p=99&q=in%3Adescription+microservice&s=stars&type=Repositories,mahdizaabi/MCQRS,"Java Microservices framework based on CQRS architecture,Kafka event-sourcing",4
1649851710-1902,https://github.com/search?l=Java&o=desc&p=87&q=in%3Adescription+microservice&s=stars&type=Repositories,koenighotze/Hotel-Reservation-Tool,JEE7 based Self-contained-systems/Microservice Demo Application,5
1649851701-1879,https://github.com/search?l=Java&o=desc&p=90&q=in%3Adescription+microservice&s=stars&type=Repositories,predic8/eventsourcing-kafka-sample,Microservices Turial: Eventsourcing Sample with Apache Kafka,4
1649851908-2583,https://github.com/search?l=Java&o=desc&p=19&q=in%3Adescription+microservice&s=stars&type=Repositories,WendellAdriel/spring-microservices,Example of a microservice architecture using Spring Cloud,54
1649851738-2004,https://github.com/search?l=Java&o=desc&p=77&q=in%3Adescription+microservice&s=stars&type=Repositories,marcelmaatkamp/java-spring-boot-example,"A microservices platform build with Gitlab, code in Nexus, running on RabbitMQ in java",6
1649851724-1959,https://github.com/search?l=Java&o=desc&p=82&q=in%3Adescription+microservice&s=stars&type=Repositories,anil-jaglan/springboot-microservices-distributed-transaction-2pc,Spring Boot microservices to perform distributed transaction using 2-Phase Commit (2PC),5
1649851947-2727,https://github.com/search?l=Java&o=desc&p=5&q=in%3Adescription+microservice&s=stars&type=Repositories,OmarElgabry/microservices-spring-boot,The source code for series of articles on Medium about Microservices with Spring Boot,448
1649851721-1940,https://github.com/search?l=Java&o=desc&p=83&q=in%3Adescription+microservice&s=stars&type=Repositories,cevheri/springboot-microservices-example,"Spring Boot Microservices Application API Gateway, Service Registry, Circuit Breaker, Hystrix Dashboard, and Other Mi…",5
1649851831-2316,https://github.com/search?l=Java&o=desc&p=46&q=in%3Adescription+microservice&s=stars&type=Repositories,galleog/piggymetrics-k8s,Microservices with Spring Boot and Kubernetes,14
1649851888-2516,https://github.com/search?l=Java&o=desc&p=26&q=in%3Adescription+microservice&s=stars&type=Repositories,AvanzaBank/astrix,Astrix is a Java framework designed to simplify development and maintenance of microservices,34
1649851933-2670,https://github.com/search?l=Java&o=desc&p=10&q=in%3Adescription+microservice&s=stars&type=Repositories,microservices-security-in-action/samples,Microservices Security in Action Book Samples,176
1649851696-1859,https://github.com/search?l=Java&o=desc&p=92&q=in%3Adescription+microservice&s=stars&type=Repositories,BarathArivazhagan/springboot-microservices-workshop,This repository contains microservices samples built using spring boot and spring cloud application development frame…,4
1649851757-2066,https://github.com/search?l=Java&o=desc&p=71&q=in%3Adescription+microservice&s=stars&type=Repositories,otoukebri/ecommerce-microservices,E-commerce spring-boot microservices showcase application,6
1649851822-2280,https://github.com/search?l=Java&o=desc&p=49&q=in%3Adescription+microservice&s=stars&type=Repositories,jansoren/akka-persistence-java-example,"This is an Event sourced microservice example implemented using Java, Dropwizard and Akka Persistence",13
1649851771-2117,https://github.com/search?l=Java&o=desc&p=66&q=in%3Adescription+microservice&s=stars&type=Repositories,itsoulltd/WebAppStarterProjects,A comprehensive set of startup code targeting event-driven spring-boot microservices using Kafka/ActiveMQ as a MOM. A…,8
1649851690-1835,https://github.com/search?l=Java&o=desc&p=94&q=in%3Adescription+microservice&s=stars&type=Repositories,kamdibus/RSO,"Microservices, Spring Boot, Docker, Kubernetes, Istio, GCP, MongoDB",4
1649851911-2594,https://github.com/search?l=Java&o=desc&p=18&q=in%3Adescription+microservice&s=stars&type=Repositories,wx-chevalier/MicroCN-Series,? MicroService & CloudNative Architecture，架构衍化，微服务实战，云原生探索，RPC，服务注册与发现,61
1649851928-2657,https://github.com/search?l=Java&o=desc&p=12&q=in%3Adescription+microservice&s=stars&type=Repositories,juliofalbo/complete-microservices-env,"This is a whole environment of a Microservices Architecture using Spring Cloud, Splunk, Zipkin, Grafana, Prometheus, …",113
1649851839-2349,https://github.com/search?l=Java&o=desc&p=43&q=in%3Adescription+microservice&s=stars&type=Repositories,nassiesse/simple-ocr-microservice,"Simple OCR microservice with Tesseract, PDFBox and Docker",15
1649851944-2712,https://github.com/search?l=Java&o=desc&p=6&q=in%3Adescription+microservice&s=stars&type=Repositories,ordina-jworks/microservices-dashboard,Dashboard for visualizing Spring Boot microservices and the components they link to.,415
1649851707-1896,https://github.com/search?l=Java&o=desc&p=88&q=in%3Adescription+microservice&s=stars&type=Repositories,APIMetas/waggle,A true and lightweighted microservice framework. 一款真正的微服务框架。,5
1649851936-2689,https://github.com/search?l=Java&o=desc&p=9&q=in%3Adescription+microservice&s=stars&type=Repositories,noboomu/proteus,"Lean, mean, and incredibly fast JVM framework for web and microservice development.",183
1649851681-1800,https://github.com/search?l=Java&o=desc&p=97&q=in%3Adescription+microservice&s=stars&type=Repositories,will0211/spring-cloud-new-example,https://piotrminkowski.wordpress.com/2018/04/26/quick-guide-to-microservices-with-spring-boot-2-0-eureka-and-spring-c…,4
1649851817-2265,https://github.com/search?l=Java&o=desc&p=51&q=in%3Adescription+microservice&s=stars&type=Repositories,azarai/springbootbook,This is the sample application for the book Spring Boot: How To Get Started and Build a Microservice.,12
1649851834-2325,https://github.com/search?l=Java&o=desc&p=45&q=in%3Adescription+microservice&s=stars&type=Repositories,PacktPublishing/Building-Microservices-with-Micronaut,"Building Microservices with Micronaut, published by Packt",14
1649851811-2247,https://github.com/search?l=Java&o=desc&p=53&q=in%3Adescription+microservice&s=stars&type=Repositories,WASdev/sample.microservices.security,Sample code showing how to provide secure microservices.,11
1649851744-2026,https://github.com/search?l=Java&o=desc&p=75&q=in%3Adescription+microservice&s=stars&type=Repositories,Book-Microservices-v2/chapter08c,Learn Microservices with Spring Boot (2nd edition) - Chapter 8 - 3/4,6
1649851721-1949,https://github.com/search?l=Java&o=desc&p=83&q=in%3Adescription+microservice&s=stars&type=Repositories,ERS-HCL/trace-demo,Spring Cloud Sleuth and Zipkin sample to demonstrate distributed tracing for Microservices,5
1649851777-2135,https://github.com/search?l=Java&o=desc&p=64&q=in%3Adescription+microservice&s=stars&type=Repositories,SoftInstigate/restheart-security,Authorization and Authentication microservice for RESTHeart,8
1649851859-2413,https://github.com/search?l=Java&o=desc&p=36&q=in%3Adescription+microservice&s=stars&type=Repositories,GouravRusiya30/SpringBootRestAPI,"A ready-to-use Template for Rest API using spring-boot-microservices, MongoDB as Database, Integrated with codecov an…",21
1649851681-1806,https://github.com/search?l=Java&o=desc&p=97&q=in%3Adescription+microservice&s=stars&type=Repositories,sid288791/spring-microservice-logtracing-spring-cloud-sleuth,Spring Microservices Logtracing Using Spring Cloud Sleuth,4
1649851787-2163,https://github.com/search?l=Java&o=desc&p=61&q=in%3Adescription+microservice&s=stars&type=Repositories,diegopacheco/Building_Effective_Microservices,Video Workshop Series: Building Effective Microservices. Using Java 8 and NetflixOSS.,9
1649851783-2157,https://github.com/search?l=Java&o=desc&p=62&q=in%3Adescription+microservice&s=stars&type=Repositories,gibchikafa/springbootmicroservices,Testing Spring Boot Microservices,8
1649851953-2749,https://github.com/search?l=Java&o=desc&p=3&q=in%3Adescription+microservice&s=stars&type=Repositories,chaokunyang/microservices-event-sourcing,Microservices Event Sourcing 是一个微服务架构的在线购物网站，使用Spring Boot、Spring Cloud、Spring Reactor、OAuth2、CQRS 构建，实现了基于Event Sour…,677
1649851790-2177,https://github.com/search?l=Java&o=desc&p=60&q=in%3Adescription+microservice&s=stars&type=Repositories,Apress/learn-microservices-spring-boot-2e,"Source Code for 'Learn Microservices with Spring Boot, 2nd Edition' by Moisés Macero García",9
1649851959-2760,https://github.com/search?l=Java&o=desc&p=1&q=in%3Adescription+microservice&s=stars&type=Repositories,apolloconfig/apollo,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,26.6k
1649851765-2092,https://github.com/search?l=Java&o=desc&p=68&q=in%3Adescription+microservice&s=stars&type=Repositories,admin-ch/CovidCertificate-App-Verification-Check-Service,Microservice to verify a Covid Certificate,7
1649851885-2502,https://github.com/search?l=Java&o=desc&p=27&q=in%3Adescription+microservice&s=stars&type=Repositories,garystafford/virtual-vehicles-demo,"Java-based microservices demonstration, using RestExpress, MongoDB, and Java EE",32
1649851819-2270,https://github.com/search?l=Java&o=desc&p=50&q=in%3Adescription+microservice&s=stars&type=Repositories,bjedrzejewski/tasklist-service,Example microservice for showing tasks with dropwizard.,12
1649851751-2045,https://github.com/search?l=Java&o=desc&p=73&q=in%3Adescription+microservice&s=stars&type=Repositories,kubesphere-sigs/spring-cloud-bookinfo,Spring Cloud microservices demo coppied from Istio Bookinfo,6
1649851715-1923,https://github.com/search?l=Java&o=desc&p=85&q=in%3Adescription+microservice&s=stars&type=Repositories,microservices/java,? A template for creating Open Microservices with Java,5
1649851787-2167,https://github.com/search?l=Java&o=desc&p=61&q=in%3Adescription+microservice&s=stars&type=Repositories,kuldeepsingh99/microservice-consul,"Creating microservices using Spring Boot, Service registry using Consul, Netfix Zuul as API Gateway with Spring Secur…",9
1649851831-2310,https://github.com/search?l=Java&o=desc&p=46&q=in%3Adescription+microservice&s=stars&type=Repositories,spot-next/core-next,core-next microservice framework,14
1649851724-1953,https://github.com/search?l=Java&o=desc&p=82&q=in%3Adescription+microservice&s=stars&type=Repositories,jenseickmeyer/todo-app-java,A simple Java-based microservice using API Gateway and Lambda,5
1649851902-2561,https://github.com/search?l=Java&o=desc&p=21&q=in%3Adescription+microservice&s=stars&type=Repositories,benwilcock/pcf-axon-cqrs-demo,"Demonstrates CQRS and Event Sourcing microservices in Java using Pivotal CloudFoundry, SpringBoot and the Axon Framew…",49
